# File: Subregions_Thailand_pcgdp.csv
# Title: Subregions and rest-of-Thailand pcgdp
# Units: thousand 2005 USD per capita
# Description: Computed off-line
# Column types: cin
# ----------
"region","year","pcgdp"
"Thailand",1970,0.813442587
"Bangkok",1970,2.637558635
"Rest of Thailand",1970,0.59036967
"Thailand",1971,0.784715868
"Bangkok",1971,2.544413272
"Rest of Thailand",1971,0.569520769
"Thailand",1972,0.812903698
"Bangkok",1972,2.635811305
"Rest of Thailand",1972,0.589978562
"Thailand",1973,0.996560613
"Bangkok",1973,3.231312315
"Rest of Thailand",1973,0.723270664
"Thailand",1974,1.128215748
"Bangkok",1974,3.658199404
"Rest of Thailand",1974,0.818821597
"Thailand",1975,1.095104833
"Bangkok",1975,3.550838441
"Rest of Thailand",1975,0.794790792
"Thailand",1976,1.157518022
"Bangkok",1976,3.753210985
"Rest of Thailand",1976,0.840088217
"Thailand",1977,1.240685788
"Bangkok",1977,4.022879507
"Rest of Thailand",1977,0.900448625
"Thailand",1978,1.376125022
"Bangkok",1978,4.462036403
"Rest of Thailand",1978,0.998745932
"Thailand",1979,1.418208556
"Bangkok",1979,4.598490764
"Rest of Thailand",1979,1.029288766
"Thailand",1980,1.505283411
"Bangkok",1980,4.88082788
"Rest of Thailand",1980,1.09248481
"Thailand",1981,1.452247833
"Bangkok",1981,4.708861907
"Rest of Thailand",1981,1.053993345
"Thailand",1982,1.406835489
"Bangkok",1982,4.561613997
"Rest of Thailand",1982,1.021034571
"Thailand",1983,1.451779135
"Bangkok",1983,4.707342172
"Rest of Thailand",1983,1.05365318
"Thailand",1984,1.43504392
"Bangkok",1984,4.653078832
"Rest of Thailand",1984,1.041507315
"Thailand",1985,1.269539147
"Bangkok",1985,4.116435497
"Rest of Thailand",1985,0.921389437
"Thailand",1986,1.352889832
"Bangkok",1986,4.386697125
"Rest of Thailand",1986,0.981882601
"Thailand",1987,1.518548251
"Bangkok",1987,4.923838654
"Rest of Thailand",1987,1.102111991
"Thailand",1988,1.758095645
"Bangkok",1988,5.700562552
"Rest of Thailand",1988,1.27596755
"Thailand",1989,1.947642925
"Bangkok",1989,6.315162861
"Rest of Thailand",1989,1.413534684
"Thailand",1990,2.179946407
"Bangkok",1990,7.068398632
"Rest of Thailand",1990,1.582132852
"Thailand",1991,2.401244937
"Bangkok",1991,7.78595124
"Rest of Thailand",1991,1.742743991
"Thailand",1992,2.634174614
"Bangkok",1992,8.541217425
"Rest of Thailand",1992,1.91179663
"Thailand",1993,2.942938405
