# File: Subregions_Thailand_pop.csv
# Title: Subregions and rest-of-Thailand population (all years)
# Units: millions
# Description: Computed off-line
# Column types: cin
# ----------
"region","year","population"
"Thailand",1970,35.17292175
"Bangkok",1970,3.115061895
"Rest of Thailand",1970,30.78114318
"Thailand",1971,36.11091401
"Bangkok",1971,3.198134435
"Rest of Thailand",1971,31.60201539
"Thailand",1972,37.04890627
"Bangkok",1972,3.281206975
"Rest of Thailand",1972,32.4228876
"Thailand",1973,37.98689853
"Bangkok",1973,3.364279515
"Rest of Thailand",1973,33.24375981
"Thailand",1974,38.92489079
"Bangkok",1974,3.447352055
"Rest of Thailand",1974,34.06463202
"Thailand",1975,39.86288305
"Bangkok",1975,3.530424595
"Rest of Thailand",1975,34.88550423
"Thailand",1976,40.80087531
"Bangkok",1976,3.613497135
"Rest of Thailand",1976,35.70637644
"Thailand",1977,41.73886757
"Bangkok",1977,3.696569674
"Rest of Thailand",1977,36.52724865
"Thailand",1978,42.67685983
"Bangkok",1978,3.779642214
"Rest of Thailand",1978,37.34812086
"Thailand",1979,43.61485209
"Bangkok",1979,3.862714754
"Rest of Thailand",1979,38.16899307
"Thailand",1980,44.55284435
"Bangkok",1980,3.945787294
"Rest of Thailand",1980,38.98986528
"Thailand",1981,45.4908366
"Bangkok",1981,4.028859834
"Rest of Thailand",1981,39.8107375
"Thailand",1982,46.42882886
"Bangkok",1982,4.111932374
"Rest of Thailand",1982,40.63160971
"Thailand",1983,47.36682112
"Bangkok",1983,4.195004914
"Rest of Thailand",1983,41.45248192
"Thailand",1984,48.30481338
"Bangkok",1984,4.278077454
"Rest of Thailand",1984,42.27335413
"Thailand",1985,49.24280564
"Bangkok",1985,4.361149993
"Rest of Thailand",1985,43.09422634
"Thailand",1986,50.1807979
"Bangkok",1986,4.444222533
"Rest of Thailand",1986,43.91509855
"Thailand",1987,51.11879016
"Bangkok",1987,4.527295073
"Rest of Thailand",1987,44.73597076
"Thailand",1988,52.05678242
"Bangkok",1988,4.610367613
"Rest of Thailand",1988,45.55684297
"Thailand",1989,52.99477468
"Bangkok",1989,4.693440153
"Rest of Thailand",1989,46.37771518
"Thailand",1990,53.93276694
"Bangkok",1990,4.776512693
"Rest of Thailand",1990,47.19858739
"Thailand",1991,54.54258349
"Bangkok",1991,4.830520612
"Rest of Thailand",1991,47.73226073
"Thailand",1992,55.15240004
"Bangkok",1992,4.88452853
"Rest of Thailand",1992,48.26593407
