year,region,value
1970,Thailand,813.4425871396538
1970,Bangkok,2637.558635217421
1970,Nonthaburi,762.1166273933438
1970,Samut Prakan,2654.2795830085424
1970,Rest of Thailand,590.3696696844943
1971,Thailand,784.7158682655004
1971,Bangkok,2544.413271763542
1971,Nonthaburi,735.2024844033261
1971,Samut Prakan,2560.5437194086185
1971,Rest of Thailand,569.5207692200024
1972,Thailand,812.9036975977828
1972,Bangkok,2635.8113050590773
1972,Nonthaburi,761.6117402793897
1972,Samut Prakan,2652.5211755547175
1972,Rest of Thailand,589.9785615155089
1973,Thailand,996.5606126523372
1973,Bangkok,3231.312315060129
1973,Nonthaburi,933.6804159446493
1973,Samut Prakan,3251.797396906461
1973,Rest of Thailand,723.2706634907597
1974,Thailand,1128.2157476253435
1974,Bangkok,3658.1994040922045
1974,Nonthaburi,1057.0284788945635
1974,Samut Prakan,3681.390760078986
1974,Rest of Thailand,818.8215969863735
1975,Thailand,1095.1048326021694
1975,Bangkok,3550.838440675705
1975,Nonthaburi,1026.0067703114144
1975,Samut Prakan,3573.3491759399285
1975,Rest of Thailand,794.7907922630567
1976,Thailand,1157.5180218732655
1976,Bangkok,3753.210985359276
1976,Nonthaburi,1084.4818613186476
1976,Samut Prakan,3777.0046724823997
1976,Rest of Thailand,840.08821646542
1977,Thailand,1240.685788155711
1977,Bangkok,4022.879507266094
1977,Nonthaburi,1162.4019733819878
1977,Samut Prakan,4048.3827727908147
1977,Rest of Thailand,900.448624790261
1978,Thailand,1376.1250223772447
1978,Bangkok,4462.036403420722
1978,Nonthaburi,1289.295369466168
1978,Samut Prakan,4490.323728201857
1978,Rest of Thailand,998.7459321034323
1979,Thailand,1418.208556069333
1979,Bangkok,4598.4907635008085
1979,Nonthaburi,1328.7235494917393
1979,Samut Prakan,4627.643148190112
1979,Rest of Thailand,1029.288766075671
1980,Thailand,1505.283410712448
1980,Bangkok,4880.827880348637
1980,Nonthaburi,1410.3042235313478
1980,Samut Prakan,4911.7701566927735
1980,Rest of Thailand,1092.4848096394132
1981,Thailand,1452.2478329584296
1981,Bangkok,4708.861907223553
1981,Nonthaburi,1360.6150428949147
1981,Samut Prakan,4738.713995838751
1981,Rest of Thailand,1053.993345072424
1982,Thailand,1406.835488733719
1982,Bangkok,4561.613997476745
1982,Nonthaburi,1318.068091002144
1982,Samut Prakan,4590.532599883008
1982,Rest of Thailand,1021.0345707429234
1983,Thailand,1451.7791353761233
1983,Bangkok,4707.342171995694
1983,Nonthaburi,1360.1759188235396
1983,Samut Prakan,4737.184626165968
1983,Rest of Thailand,1053.6531799013073
1984,Thailand,1435.0439199046336
1984,Bangkok,4653.078831500745
1984,Nonthaburi,1344.4966487982504
1984,Samut Prakan,4682.577280244458
1984,Rest of Thailand,1041.507315170099
1985,Thailand,1269.5391472466242
1985,Bangkok,4116.435497115199
1985,Nonthaburi,1189.434765944102
1985,Samut Prakan,4142.5318659745435
1985,Rest of Thailand,921.3894365268197
1986,Thailand,1352.8898317209018
1986,Bangkok,4386.697124748263
1986,Nonthaburi,1267.5262545712612
1986,Samut Prakan,4414.506832035522
1986,Rest of Thailand,981.8826008128045
1987,Thailand,1518.5482514778362
1987,Bangkok,4923.838654383177
1987,Nonthaburi,1422.7320898206892
1987,Samut Prakan,4955.053599890942
1987,Rest of Thailand,1102.1119914281326
1988,Thailand,1758.095645014672
1988,Bangkok,5700.562551503694
1988,Nonthaburi,1647.1647105728368
1988,Samut Prakan,5736.701580805636
1988,Rest of Thailand,1275.967550298502
1989,Thailand,1947.64292540984
1989,Bangkok,6315.16286146069
1989,Nonthaburi,1824.7520859453352
