year,region,value
1970,Thailand,35172921.75318104
1970,Bangkok,3115061.89530471
1970,Nonthaburi,616237.7691048442
1970,Samut Prakan,660478.909963539
1970,Rest of Thailand,30781143.178807944
1971,Thailand,36110914.012433216
1971,Bangkok,3198134.4351804447
1971,Nonthaburi,632671.6116310739
1971,Samut Prakan,678092.5762177246
1971,Rest of Thailand,31602015.389403973
1972,Thailand,37048906.27168539
1972,Bangkok,3281206.97505618
1972,Nonthaburi,649105.4541573034
1972,Samut Prakan,695706.2424719101
1972,Rest of Thailand,32422887.599999998
1973,Thailand,37986898.53093757
1973,Bangkok,3364279.5149319144
1973,Nonthaburi,665539.2966835331
1973,Samut Prakan,713319.9087260957
1973,Rest of Thailand,33243759.81059602
1974,Thailand,38924890.79018974
1974,Bangkok,3447352.0548076495
1974,Nonthaburi,681973.1392097627
1974,Samut Prakan,730933.5749802813
1974,Rest of Thailand,34064632.02119205
1975,Thailand,39862883.04944192
1975,Bangkok,3530424.594683384
1975,Nonthaburi,698406.9817359924
1975,Samut Prakan,748547.2412344669
1975,Rest of Thailand,34885504.23178808
1976,Thailand,40800875.3086941
1976,Bangkok,3613497.134559119
1976,Nonthaburi,714840.8242622219
1976,Samut Prakan,766160.9074886525
1976,Rest of Thailand,35706376.44238411
1977,Thailand,41738867.56794628
1977,Bangkok,3696569.6744348537
1977,Nonthaburi,731274.6667884516
1977,Samut Prakan,783774.573742838
1977,Rest of Thailand,36527248.652980134
1978,Thailand,42676859.82719845
1978,Bangkok,3779642.214310589
1978,Nonthaburi,747708.5093146812
1978,Samut Prakan,801388.2399970236
1978,Rest of Thailand,37348120.86357617
1979,Thailand,43614852.08645063
1979,Bangkok,3862714.7541863234
1979,Nonthaburi,764142.3518409109
1979,Samut Prakan,819001.9062512092
1979,Rest of Thailand,38168993.074172184
1980,Thailand,44552844.345702805
1980,Bangkok,3945787.2940620584
1980,Nonthaburi,780576.1943671405
1980,Samut Prakan,836615.5725053947
1980,Rest of Thailand,38989865.28476822
1981,Thailand,45490836.60495498
1981,Bangkok,4028859.833937793
1981,Nonthaburi,797010.0368933701
1981,Samut Prakan,854229.2387595803
1981,Rest of Thailand,39810737.49536424
1982,Thailand,46428828.864207156
1982,Bangkok,4111932.3738135276
1982,Nonthaburi,813443.8794195997
1982,Samut Prakan,871842.9050137659
1982,Rest of Thailand,40631609.70596027
1983,Thailand,47366821.12345933
1983,Bangkok,4195004.913689263
1983,Nonthaburi,829877.7219458293
1983,Samut Prakan,889456.5712679515
1983,Rest of Thailand,41452481.916556284
1984,Thailand,48304813.38271151
1984,Bangkok,4278077.453564998
1984,Nonthaburi,846311.564472059
1984,Samut Prakan,907070.237522137
1984,Rest of Thailand,42273354.127152316
1985,Thailand,49242805.64196369
1985,Bangkok,4361149.993440732
1985,Nonthaburi,862745.4069982886
1985,Samut Prakan,924683.9037763226
1985,Rest of Thailand,43094226.33774834
1986,Thailand,50180797.901215866
1986,Bangkok,4444222.533316467
1986,Nonthaburi,879179.2495245183
1986,Samut Prakan,942297.5700305082
1986,Rest of Thailand,43915098.54834437
1987,Thailand,51118790.16046804
1987,Bangkok,4527295.073192202
1987,Nonthaburi,895613.092050748
1987,Samut Prakan,959911.2362846937
1987,Rest of Thailand,44735970.7589404
1988,Thailand,52056782.41972022
1988,Bangkok,4610367.613067936
1988,Nonthaburi,912046.9345769775
1988,Samut Prakan,977524.9025388793
1988,Rest of Thailand,45556842.969536416
1989,Thailand,52994774.67897239
1989,Bangkok,4693440.152943672
1989,Nonthaburi,928480.7771032071
1989,Samut Prakan,995138.5687930649
1989,Rest of Thailand,46377715.18013245
1990,Thailand,53932766.93822457
1990,Bangkok,4776512.692819406
1990,Nonthaburi,944914.6196294368
1990,Samut Prakan,1012752.2350472505
1990,Rest of Thailand,47198587.39072847
1991,Thailand,54542583.48861522
1991,Bangkok,4830520.611541037
1991,Nonthaburi,955598.7474142421
1991,Samut Prakan,1024203.4011831237
1991,Rest of Thailand,47732260.72847682
1992,Thailand,55152400.039005876
1992,Bangkok,4884528.530262669
1992,Nonthaburi,966282.8751990476
1992,Samut Prakan,1035654.5673189969
1992,Rest of Thailand,48265934.066225156
1993,Thailand,55762216.58939653
1993,Bangkok,4938536.4489843
1993,Nonthaburi,976967.002983853
1993,Samut Prakan,1047105.7334548702
1993,Rest of Thailand,48799607.403973505
1994,Thailand,56372033.13978718
1994,Bangkok,4992544.367705931
1994,Nonthaburi,987651.1307686584
1994,Samut Prakan,1058556.8995907432
1994,Rest of Thailand,49333280.741721846
1995,Thailand,56981849.69017784
1995,Bangkok,5046552.286427561
1995,Nonthaburi,998335.2585534637
1995,Samut Prakan,1070008.0657266164
