# File: IND_A44_subregional_shares.csv
# Title: Assumptions for future socioeconomics of SEAsia
# Units: Unitless
# Comments: The scenario name in the first column will be appended to the XML files (do not use spaces or special characters). Urban share of GDP is not provided in the SSP database. Here it is derived to keep the urban:rural share of labor productivity relatively constant over time. Missing values will be interpolated linearly
# Source: SSP database
# Column types: ccccnnnnnnnnnnnnnnnnnnn
# ----------
region,scenario,item,unit,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
Malaysia,SSP2,population,million,28.401017,30.67306527,32.94511354,35.05301339,37.16091324,38.90925613,40.65759902,41.96130899,43.26501896,44.19582246,45.12662595,45.67131787,46.21600978,46.34983104,46.48365229,46.22179087,45.95992945,45.44779081,44.93565216
Malaysia,SSP2,GDP PPP,billion 2005$/yr,375.288,475.181,599.206,742.319,903.265,1080.849,1273.885,1474.86,1683.414,1906.081,2139.599,2376.83,2616.042,2858.692,3099.518,3335.679,3565.908,3788.465,4002.278
Malaysia,SSP2,urban share of population,percent,72.171,73.98237769,75.79375538,77.44361495,79.09347452,80.57649413,82.05951373,83.37665968,84.69380563,85.85110735,87.00840907,88.01561251,89.02281595,89.89208833,90.76136071,91.50616048,92.25096024,92.88512875,93.51929726
Malaysia,SSP2,urban share of GDP,percent,60,63,66,68.5,71,73,75,77,79,80.5,82,83.5,85,86,87,88,89,89.5,90
Thailand,SSP2,population,million,69.122234,70.98398887,72.84574373,73.9317322,75.01772066,75.11850162,75.21928257,74.38547701,73.55167144,72.20729295,70.86291446,69.10531973,67.34772499,65.30938675,63.2710485,61.12152488,58.97200126,56.81725044,54.66249962
Thailand,SSP2,GDP PPP,billion 2005$/yr,530.367,651.168,834.091,1054.515,1298.901,1555.623,1825.866,2105.238,2389.52,2678.176,2967.922,3250.613,3523.129,3786.065,4035.909,4264.461,4473.975,4663.628,4836.199
Thailand,SSP2,urban share of population,percent,33.963,36.9139114,39.8648228,42.72359997,45.58237713,48.2617167,50.94105626,53.39037001,55.83968376,58.03980732,60.23993088,62.19383132,64.14773175,65.87150622,67.59528069,69.11131845,70.6273562,71.95988442,73.29241264
Thailand,SSP2,urban share of GDP,percent,60,63,66,68.5,71,73,75,77,79,80.5,82,83.5,85,86,87,88,89,89.5,90
VietNam,SSP2,population,million,87.84844499,92.12843649,96.40842798,99.18311129,101.9577946,103.3040899,104.6503851,104.5131228,104.3758604,102.8523312,101.3288019,98.93268224,96.53656258,93.53842692,90.54029125,87.33399547,84.12769969,81.19725044,78.26680119
VietNam,SSP2,GDP PPP,billion 2005$/yr,249.923,334.359,471.171,621.722,787.227,963.961,1162.048,1378.557,1602.436,1831.777,2070.282,2330.176,2593.467,2847.718,3092.643,3330.812,3568.955,3809.186,4047.154
VietNam,SSP2,urban share of population,percent,30.379,33.45309549,36.52719098,39.60027338,42.67335577,45.62420175,48.57504772,51.31921958,54.06339144,56.55534499,59.04729854,61.2731462,63.49899386,65.46620263,67.4334114,69.16151912,70.88962684,72.40349769,73.91736853
VietNam,SSP2,urban share of GDP,percent,60,63,66,68.5,71,73,75,77,79,80.5,82,83.5,85,86,87,88,89,89.5,90
Bangkok,SSP2,urban share of population,percent,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Bangkok,SSP2,urban share of GDP,percent,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
KualaLumpur,SSP2,urban share of population,percent,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
KualaLumpur,SSP2,urban share of GDP,percent,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Rest of Thailand,SSP2,urban share of population,percent,33.963,36.9139114,39.8648228,42.72359997,45.58237713,48.2617167,50.94105626,53.39037001,55.83968376,58.03980732,60.23993088,62.19383132,64.14773175,65.87150622,67.59528069,69.11131845,70.6273562,71.95988442,73.29241264
Rest of Thailand,SSP2,urban share of GDP,percent,60,63,66,68.5,71,73,75,77,79,80.5,82,83.5,85,86,87,88,89,89.5,90
Rest of Malaysia,SSP2,urban share of population,percent,72.171,73.98237769,75.79375538,77.44361495,79.09347452,80.57649413,82.05951373,83.37665968,84.69380563,85.85110735,87.00840907,88.01561251,89.02281595,89.89208833,90.76136071,91.50616048,92.25096024,92.88512875,93.51929726
Rest of Malaysia,SSP2,urban share of GDP,percent,60,63,66,68.5,71,73,75,77,79,80.5,82,83.5,85,86,87,88,89,89.5,90
Nonthaburi,SSP2,urban share of population,percent,66.9815,68.4569557,69.9324114,71.36179999,72.79118857,74.13085835,75.47052813,76.69518501,77.91984188,79.01990366,80.11996544,81.09691566,82.07386588,82.93575311,83.79764035,84.55565923,85.3136781,85.97994221,86.64620632
Nonthaburi,SSP2,urban share of GDP,percent,80,81.5,83,84.25,85.5,86.5,87.5,88.5,89.5,90.25,91,91.75,92.5,93,93.5,94,94.5,94.75,95
SamutPrakan,SSP2,urban share of population,percent,66.9815,68.4569557,69.9324114,71.36179999,72.79118857,74.13085835,75.47052813,76.69518501,77.91984188,79.01990366,80.11996544,81.09691566,82.07386588,82.93575311,83.79764035,84.55565923,85.3136781,85.97994221,86.64620632
SamutPrakan,SSP2,urban share of GDP,percent,80,81.5,83,84.25,85.5,86.5,87.5,88.5,89.5,90.25,91,91.75,92.5,93,93.5,94,94.5,94.75,95
