# File: IND_A44_tech_shrwt.csv
# Title: Building technology default shareweights
# Units: Unitless
# Column types: cccnnn
# ----------
supplysector,subsector,technology,1971,2010,2100
resid rural lighting,electricity,bulb,1,1,1
resid rural lighting,electricity,tubelight,1,1,1
resid rural lighting,electricity,cfl,1,1,1
resid rural lighting,electricity,led,1,1,1
resid rural lighting,refined liquids,kerosene lamp,1,1,1
resid rural ventilation,electricity,ceiling fan (lo-eff),1,1,1
resid rural ventilation,electricity,ceiling fan (hi-eff),1,1,1
resid rural televisions,electricity,television,1,1,1
resid rural refrigerators,electricity,refrigerator (lo-eff),1,1,1
resid rural refrigerators,electricity,refrigerator (hi-eff),1,1,1
resid rural air conditioners,electricity,air conditioner (lo-eff),1,1,1
resid rural air conditioners,electricity,air conditioner (hi-eff),1,1,1
resid rural other appliances,electricity,other appliances,1,1,1
resid rural water heaters,electricity,electric water heater,1,1,1
resid rural water heaters,refined liquids,LPG water heater,1,1,1
resid rural water heaters,solar,solar water heater,1,1,1
resid urban lighting,electricity,bulb,1,1,1
resid urban lighting,electricity,tubelight,1,1,1
resid urban lighting,electricity,cfl,1,1,1
resid urban lighting,electricity,led,1,1,1
resid urban lighting,refined liquids,kerosene lamp,1,1,1
resid urban ventilation,electricity,ceiling fan (lo-eff),1,1,1
resid urban ventilation,electricity,ceiling fan (hi-eff),1,1,1
resid urban televisions,electricity,television,1,1,1
resid urban refrigerators,electricity,refrigerator (lo-eff),1,1,1
resid urban refrigerators,electricity,refrigerator (hi-eff),1,1,1
resid urban air conditioners,electricity,air conditioner (lo-eff),1,1,1
resid urban air conditioners,electricity,air conditioner (hi-eff),1,1,1
resid urban other appliances,electricity,other appliances,1,1,1
resid urban water heaters,electricity,electric water heater,1,1,1
resid urban water heaters,refined liquids,LPG water heater,1,1,1
resid urban water heaters,solar,solar water heater,1,1,1
comm hvac,electricity,electricity,1,1,1
comm lighting,electricity,electricity,1,1,1
comm others,electricity,electricity,1,1,1
resid rural cooking,biomass,biomass,1,1,1
resid rural cooking,coal,coal,1,1,1
resid rural cooking,electricity,electricity,1,1,1
resid rural cooking,gas,gas,1,1,1
resid rural cooking,refined liquids,refined liquids,1,1,1
resid rural cooking,traditional biomass,traditional biomass,1,1,1
resid urban cooking,biomass,biomass,1,1,1
resid urban cooking,coal,coal,1,1,1
resid urban cooking,electricity,electricity,1,1,1
resid urban cooking,gas,gas,1,1,1
resid urban cooking,refined liquids,refined liquids,1,1,1
resid urban cooking,traditional biomass,traditional biomass,1,1,1
comm cooking,biomass,biomass,1,1,1
comm cooking,coal,coal,1,1,1
comm cooking,electricity,electricity,1,1,1
comm cooking,gas,gas,1,1,1
comm cooking,refined liquids,refined liquids,1,1,1
