# File: Various_flsp_Mm2.csv
# Title: Historical and projected floorspace in India. Documentation in IndiaData_Floorspace*.xlsx
# Units: NA
# Column types: nnnnnn
# ----------
year,commercial,urban,rural,urban_population,rural_population
1993,,1938.416993,5401.506462,227.7639967,655.8972132
1994,,2672.41901,7978.612963,231.334728,668.522632
1995,,,,243.5699497,672.3475838
1996,,,,240.0201985,691.8107454
1997,,,,245.1442818,702.4427564
1998,,,,250.7927744,712.3827234
1999,,,,256.9662791,721.6199588
2000,,2575.425234,5958.517671,273.7225686,715.6957165
2001,,2397.432874,5805.129785,270.8827055,737.9526847
2002,,2289.411822,5527.732675,278.6188631,745.0359403
2003,,,,286.866556,751.3919418
2004,,3076.573378,7599.993767,295.6185724,757.0189869
2005,516,3471.351098,7864.651399,306.3374945,760.4458127
2006,542,3425.475532,7332.099377,314.5994188,766.0878756
2007,569,3651.754665,8507.451348,324.8066411,769.5346678
2008,597,3170.239365,6479.280753,335.475065,772.2623066
2009,627,,,346.5905702,774.2771681
2010,659,3226.893468,6622.704017,339.4768932,791.7356798
2011,692,,,370.1002382,776.2013363
2012,728,3656.692871,6472.604994,382.4602237,776.1305014
2013,765,,,,
2014,805,,,,
2015,847,,,,
2016,892,,,,
2017,940,,,,
2018,990,,,,
2019,1044,,,,
2020,1102,,,,
2021,1163,,,,
2022,1228,,,,
2023,1298,,,,
2024,1372,,,,
2025,1450,,,,
2026,1534,,,,
2027,1624,,,,
2028,1720,,,,
2029,1822,,,,
2030,1932,,,,
